trackId,length,width,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1291,3.86,1.56,7879,8149,271,car,1,133.89,14.21,15.33,14.89,21.52,1.44,25.07,0
1292,3.86,1.6,7880,8304,425,car,2,136.45,9.03,10.11,9.66,-1.0,-1.0,-1.0,0
1294,3.64,1.46,7892,9097,1206,car,2,136.61,0.73,5.1,3.38,1.43,0.67,2.91,0
1293,3.83,1.54,7892,8824,933,car,2,136.42,1.23,6.3,4.39,3.26,1.12,4.26,0
1295,3.68,1.46,7900,8941,1042,car,2,136.24,2.84,5.07,3.87,2.85,0.63,8.83,0
1297,3.69,1.71,7901,8073,173,car,2,36.64,5.54,7.52,6.44,-1.0,-1.0,-1.0,1
1296,8.97,2.44,7901,8285,385,truck,1,134.32,5.21,11.34,10.23,11.03,1.17,-1.0,0
1298,3.83,1.57,7906,8283,378,car,1,135.24,8.19,14.02,10.73,6.34,0.75,-1.0,0
1299,3.68,1.54,7910,8197,288,car,1,134.44,13.51,14.23,14.04,44.66,3.23,-1.0,0
1300,3.45,1.46,7914,9245,1332,car,2,136.15,0.98,8.12,3.09,0.07,0.02,6.52,2
1301,3.9,1.6,7924,8329,406,car,2,135.4,9.76,10.22,10.04,-1.0,-1.0,-1.0,0
1302,3.93,1.87,7934,7940,7,car,1,1.22,6.88,6.88,6.88,-1.0,-1.0,-1.0,0
1303,3.75,1.57,7937,8400,464,car,2,136.12,8.02,10.49,8.92,16.76,1.77,4.53,1
1305,3.79,1.48,7966,8207,242,car,1,133.39,16.29,17.15,16.63,27.45,1.66,11.76,0
1304,3.94,1.57,7967,9332,1366,car,2,135.53,0.94,4.58,2.97,1.39,0.93,4.56,0
1306,4.03,1.83,7969,8149,181,car,2,36.73,4.38,7.37,6.04,-1.0,-1.0,-1.0,1
1307,3.94,1.57,7973,8315,343,car,1,134.96,11.16,13.38,11.97,5.47,0.48,3.59,0
1308,13.28,1.97,7978,9054,1077,truck,2,135.28,1.73,5.01,3.74,2.96,0.82,6.92,0
1309,3.82,1.62,7983,8384,402,car,2,136.06,9.62,11.94,10.27,-1.0,-1.0,-1.0,0
1310,3.79,1.44,7987,8896,910,car,2,135.88,2.21,5.79,4.44,4.31,1.83,3.13,0
1311,4.2,1.54,7994,8534,541,car,2,135.67,4.92,9.94,7.65,12.0,1.85,44.1,1
1312,3.75,1.46,7996,8274,279,car,1,131.23,13.66,14.26,14.12,35.62,2.53,111.0,0
1313,3.71,1.5,8003,9770,1768,car,2,136.89,0.05,4.96,2.32,0.22,0.38,0.49,0
