ts,nad_status,nad_status_str,x,y,z,h,spd_mps,spd_kph,acc_lgt_mpss,acc_lat_mpss,dynamicobj.OBJ_Info.OBJ_CIPV_ID,dynamicobj.OBJ_Info.OBJ_CIPV_Lost,dynamicobj.OBJ_Info.OBJ_Is_CCI,road_id,lane_id
1706928726990468352,5,PilotStdby,0.0272983689014836,-0.0014485345166121,-5.553834260751955e-05,-0.0531963599645932,15.828125,56.98124694824219,-1.7461791038513184,-0.2256309539079666,0.0,False,False,1,1
1706928727000468352,5,PilotStdby,0.1866700897808186,-0.0099052829577885,-0.0003797790057848,-0.0531253253059508,15.818310867594048,56.94591671052167,-1.7420713127952538,-0.2174153468372082,0.0,False,False,1,1
1706928727010468352,5,PilotStdby,0.3460730285401041,-0.0184342291381653,-0.000695264183145,-0.0530533114388749,15.78125,56.8125,-1.7265591621398926,-0.1863909512758255,0.0,False,False,1,1
1706928727020468352,5,PilotStdby,0.5056505326401748,-0.0273213006043988,-0.0009674900687688,-0.0529764458935605,15.772587052095314,56.78131324654464,-1.717494258352128,-0.182764984803741,0.0,False,False,1,1
1706928727030468352,5,PilotStdby,0.6650589539094653,-0.0361719352326872,-0.0012239740984778,-0.0528974401991617,15.734375,56.64374923706055,-1.6775091886520386,-0.1667709350585937,0.0,False,False,1,1
1706928727040468352,5,PilotStdby,0.8236413609388364,-0.0448476803719586,-0.0014053360003742,-0.0528082353483855,15.734375,56.64374923706055,-1.6728770580704393,-0.1698590213312054,0.0,False,False,1,1
1706928727050468352,5,PilotStdby,0.982226105690188,-0.0535069750653747,-0.0015751540052857,-0.0527161172342878,15.734375,56.64374923706055,-1.6480791568756104,-0.1863909512758255,0.0,False,False,1,1
1706928727060468352,5,PilotStdby,1.1408423905800191,-0.0620862613086501,-0.0016880815776012,-0.052609624991325,15.730359982417031,56.62929527178476,-1.6531207344923688,-0.1964741045948329,0.0,False,False,1,1
1706928727070468352,5,PilotStdby,1.2994241176202197,-0.0706453151631194,-0.0017860294252791,-0.0525052280567361,15.703125,56.53125,-1.6873191595077517,-0.2648709416389465,0.0,False,False,1,1
1706928727080468352,5,PilotStdby,1.4578139384398128,-0.0791027370967185,-0.0018095243882747,-0.0524112568537314,15.699795609130025,56.51926386773226,-1.683138509699711,-0.268006428994977,0.0,False,False,1,1
1706928727090468352,5,PilotStdby,1.616196073289757,-0.0875443667841864,-0.0018214423906339,-0.0523203561465796,15.672188353395487,56.41987505106687,-1.6484726284936515,-0.2940058398995214,0.0,False,False,1,1
1706928727100468352,5,PilotStdby,1.7745602300615246,-0.0959088818508462,-0.0017760464806801,-0.052244645383979,15.642891063108662,56.314405483049015,-1.6480791568756104,-0.2761036674545574,0.0,False,False,1,1
1706928727110468352,5,PilotStdby,1.932836056720589,-0.1042983555653336,-0.0017230113949899,-0.0521673968133125,15.640625,56.30624771118164,-1.6480791568756104,-0.2746809422969818,0.0,False,False,1,1
1706928727120468352,5,PilotStdby,2.0906634603197745,-0.1128079363954839,-0.001632902240658,-0.0520826933011992,15.626519577199758,56.25547025532481,-1.621511389852656,-0.2746809422969818,0.0,False,False,1,1
1706928727130468352,5,PilotStdby,2.2484694016138747,-0.1212844916810809,-0.0015320112999148,-0.0519977173130512,15.625,56.25,-1.6186492443084717,-0.2746809422969818,0.0,False,False,1,1
1706928727140468352,5,PilotStdby,2.406189087675102,-0.1295986178515704,-0.0013777289118799,-0.0519113815756154,15.597361308784189,56.15049801253213,-1.6186492443084717,-0.2833572808254415,0.0,False,False,1,1
1706928727150468352,5,PilotStdby,2.563478745329576,-0.1378776804610879,-0.0012266305417512,-0.0518249037165592,15.59375,56.13749694824219,-1.6186492443084717,-0.2844909429550171,0.0,False,False,1,1
1706928727160468352,5,PilotStdby,2.718622051567764,-0.1459823098091419,-0.0010912958975044,-0.0517377340296233,15.566721992783757,56.04019678212717,-1.601679927567728,-0.2929755755494725,0.0,False,False,1,1
1706928727170468352,5,PilotStdby,2.874410274595448,-0.1541099146395481,-0.0009578058039299,-0.0516517007594981,15.5625,56.02499771118164,-1.5990291833877563,-0.2943009436130523,0.0,False,False,1,1
1706928727180468352,5,PilotStdby,3.0341970017652784,-0.1623803747795591,-0.0008356606357668,-0.0515726564331478,15.549274977768002,55.97738956840556,-1.5243003210776778,-0.2693913480677541,0.0,False,False,1,1
1706928727190468352,5,PilotStdby,3.1934307151950634,-0.1706167358581751,-0.0007240026146142,-0.0514933289816668,15.546875,55.96875,-1.5107390880584717,-0.2648709416389465,0.0,False,False,1,1
1706928727200468352,5,PilotStdby,3.350007507473037,-0.178689463209821,-0.0006623744157803,-0.0514126609110927,15.533999610386726,55.92239734002994,-1.5026554274592925,-0.2729546267959826,0.0,False,False,1,1
1706928727210468352,5,PilotStdby,3.5064962050964823,-0.1868515813237081,-0.0006130745765666,-0.0513327539847244,15.53125,55.91249847412109,-1.5009291172027588,-0.2746809422969818,0.0,False,False,1,1
1706928727220468352,5,PilotStdby,3.662571551439669,-0.1954541420702753,-0.000624370680951,-0.0512565785363908,15.506075433720309,55.82187065012764,-1.4535123629596816,-0.2746809422969818,0.0,False,False,1,1
1706928727230468352,5,PilotStdby,3.818631427370746,-0.2039815883883875,-0.000645058612525,-0.0511843384429613,15.5,55.79999923706055,-1.442069172859192,-0.2746809422969818,0.0,False,False,1,1
1706928727240468352,5,PilotStdby,3.9745962167139615,-0.2121410434060635,-0.0007116219010931,-0.0511313311177277,15.487688367238247,55.75567615681035,-1.4111502287326558,-0.2746809422969818,0.0,False,False,1,1
