ts,nad_status,nad_status_str,x,y,z,h,spd_mps,spd_kph,acc_lgt_mpss,acc_lat_mpss,dynamicobj.OBJ_Info.OBJ_CIPV_ID,dynamicobj.OBJ_Info.OBJ_CIPV_Lost,dynamicobj.OBJ_Info.OBJ_Is_CCI
1695432401328481408,5,PilotStdby,0.0650998255618446,0.1394506159722368,-0.0001999133148942,1.1391737969613085,5.489086556143154,19.760711105617403,0.4316409528255462,0.1961990892887115,0.0,False,False
1695432401338481408,5,PilotStdby,0.0884616629923016,0.1899041775744763,-0.0001073192406053,1.1391704842148302,5.5,19.799999237060547,0.4345064297513333,0.2191228959898238,0.0,False,False
1695432401348481408,5,PilotStdby,0.1118384187810193,0.240385401509684,-6.061092754805486e-06,1.1391708380223495,5.5,19.799999237060547,0.4414509534835815,0.2746790647506714,0.0,False,False
1695432401358481408,5,PilotStdby,0.1352197665381709,0.2908749574405647,9.82088734566844e-05,1.1391724674908377,5.5,19.799999237060547,0.4414509534835815,0.277359093480215,0.0,False,False
1695432401368481408,5,PilotStdby,0.1587112156747707,0.3415589446952936,0.0001989420242338,1.1391780408613164,5.504090814451734,19.81472606921339,0.4414509534835815,0.2844890654087066,0.0,False,False
1695432401378481408,5,PilotStdby,0.1822425503378895,0.3923136025122176,0.0002984158191772,1.139185021557465,5.515625,19.85624885559082,0.431613009692394,0.2746511253534207,0.0,False,False
1695432401388481408,5,PilotStdby,0.2058024728627288,0.4431008548366435,0.00037139015744,1.1391851114990037,5.515625,19.85624885559082,0.4022109508514404,0.2452490776777267,0.0,False,False
1695432401398481408,5,PilotStdby,0.2293717133231894,0.4938981185428019,0.0004351663206492,1.1391828100875403,5.515625,19.85624885559082,0.4022109508514404,0.238318475947745,0.0,False,False
1695432401408481408,5,PilotStdby,0.253392783103493,0.5444562897311016,0.000185633553503,1.1391682830346286,5.519165329596063,19.868993998921056,0.4022109508514404,0.2158190906047821,0.0,False,False
1695432401418481408,5,PilotStdby,0.2775666587280057,0.5949352210429879,-0.0001694382996895,1.1391496376138044,5.531250476837158,19.912500381469727,0.4022109508514404,0.198808483422117,0.0,False,False
1695432401428481408,5,PilotStdby,0.3014436370166322,0.645536823654993,-0.0004287749499525,1.1391426707406394,5.5345037974555,19.924212613697943,0.4022109508514404,0.1373390704393386,0.0,False,False
1695432401438481408,5,PilotStdby,0.3252183986690511,0.6961791119454119,-0.0006553420773443,1.139139700725105,5.546875,19.96875,0.3963291964004279,0.1157726385690739,0.0,False,False
1695432401448481408,5,PilotStdby,0.349058897503312,0.7471723668530785,-0.0009232838182278,1.13913314936108,5.549887085852459,19.9795934355316,0.3727809488773346,0.029429068788886,0.0,False,False
1695432401458481408,5,PilotStdby,0.3729229625864718,0.7982894874196518,-0.0012056807485372,1.1391253471951808,5.5625,20.02499961853028,0.3709775864696162,0.0222156195004208,0.0,False,False
1695432401468481408,5,PilotStdby,0.3966891851002287,0.8493109566992416,-0.0015276753019115,1.139113203144558,5.5625,20.02499961853028,0.3629709482192993,-0.0098109319806098,0.0,False,False
1695432401478481408,5,PilotStdby,0.4204223492852748,0.9002993966732902,-0.0018627943392957,1.1390996193995322,5.5625,20.02499961853028,0.3678917514616781,-0.0098109319806098,0.0,False,False
1695432401488481408,5,PilotStdby,0.444157640743299,0.9513839752899004,-0.0022563788913316,1.1390819317433971,5.5625,20.02499961853028,0.3924009501934051,-0.0098109319806098,0.0,False,False
1695432401498481408,5,PilotStdby,0.4678942436748343,1.0025016706987344,-0.0026693177715095,1.1390628857897105,5.5625,20.02499961853028,0.3866377556236721,-0.0126925289919089,0.0,False,False
1695432401508481408,5,PilotStdby,0.4919766824406224,1.0533114398962198,-0.0032949570097251,1.139028699569518,5.564681287559906,20.032852200491845,0.353160947561264,-0.0294309314340353,0.0,False,False
1695432401518481408,5,PilotStdby,0.5161719033188774,1.1040189402260694,-0.0039903240918164,1.138989549772902,5.578125,20.081249237060547,0.3467725942542811,-0.033263943175631,0.0,False,False
1695432401528481408,5,PilotStdby,0.5401578892333987,1.155041556590163,-0.0045556307434253,1.1389550182934027,5.580029543751111,20.0881055480669,0.3041109442710876,-0.0588609315454959,0.0,False,False
1695432401538481408,5,PilotStdby,0.5640736573728304,1.206172154646083,-0.0050769228129716,1.1389220493580026,5.59375,20.13749885559082,0.2996110907208387,-0.0622358221353808,0.0,False,False
1695432401548481408,5,PilotStdby,0.5878478852665125,1.2572140338344298,-0.005560905162202,1.1388906452017875,5.592028720055675,20.131302289814684,0.2648709416389465,-0.0882909372448921,0.0,False,False
1695432401558481408,5,PilotStdby,0.6115738397096493,1.3082247295612888,-0.0060323107674449,1.1388597688017337,5.578125,20.081249237060547,0.2638243167014709,-0.0882909372448921,0.0,False,False
1695432401568481408,5,PilotStdby,0.6354022998208961,1.359614441822259,-0.0064680854698444,1.138826738352107,5.581083571030327,20.09190003859749,0.2550609409809112,-0.0882909372448921,0.0,False,False
1695432401578481408,5,PilotStdby,0.6592675393218315,1.4111392065785822,-0.0068912988778713,1.1387929469952742,5.609375476837158,20.193750381469727,0.2559084701274264,-0.0849008206588314,0.0,False,False
1695432401588481408,5,PilotStdby,0.6836236922594594,1.4638404465842996,-0.0072880956176852,1.1387504397099402,5.608174113093556,20.189425486657395,0.2648709416389465,-0.049050934612751,0.0,False,False
1695432401598481408,5,PilotStdby,0.7081455529071832,1.5169389506294235,-0.0076759317079293,1.1387049803831475,5.59375,20.13749885559082,0.2655581967661149,-0.0456146590173605,0.0,False,False
