ts,track_id,line_role,line_role_str,c0,c1,c2,c3,ego_x,ego_y,ego_yaw,LD_Track_Age,LD_Quality,LD_Confidence,LD_Crossing,LD_Crossing_ID,LD_Filter,LD_Dash_Average_Gap,LD_Dash_Average_Length,LD_Type,LD_Color,LD_Start,LD_End,LD_End_Reason,Line_Is_Virtual
1695432401254900000,60,1,Host_Left,1.7183526754379272,0.0061561171896755,0.0006426812033168,1.18635634862585e-05,0.0,0.0,1.139213421515891,1472.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,2.0,-61.215911865234375,17.401975631713867,0.0,False
1695432401254900000,61,2,Host_Right,-1.2511539459228516,0.0060926545411348,8.48643176141195e-05,3.087599509399297e-07,0.0,0.0,1.139213421515891,1305.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-59.734947204589844,16.29242706298828,0.0,False
1695432401254900000,62,3,Adjacent_Left_Left,5.228930950164795,0.0608825273811817,-0.0097460802644491,0.0008314514416269,0.0,0.0,1.139213421515891,20.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-1.7339974641799927,4.0,0.0,False
1695432401254900000,31,6,Adjacent_Right_Right,-4.197195529937744,0.0048078098334372,-0.0001810795511119,-6.338023013086058e-06,0.0,0.0,1.139213421515891,1740.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-59.62240219116211,15.215251922607422,0.0,False
1695432401254900000,44,10,RightRight_Right,-7.096484661102295,-0.0160828176885843,-0.0009794536745175,-1.5943844118737616e-05,0.0,0.0,1.139213421515891,277.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-27.03684425354004,13.999732971191406,0.0,False
1695432401288256000,60,1,Host_Left,1.7196141481399536,0.0063183140009641,0.0006388794281519,1.170390078186756e-05,0.0,0.0,1.139213421515891,1473.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,2.0,-61.38185119628906,17.314830780029297,0.0,False
1695432401288256000,61,2,Host_Right,-1.2499380111694336,0.0061201239004731,7.954668399179354e-05,2.0038727654991817e-07,0.0,0.0,1.139213421515891,1306.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-59.90084457397461,16.202062606811523,0.0,False
1695432401288256000,62,3,Adjacent_Left_Left,5.233698844909668,0.0577924698591232,-0.0079254051670432,0.0006462450255639,0.0,0.0,1.139213421515891,20.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-1.9000176191329956,4.0,0.0,False
1695432401288256000,31,6,Adjacent_Right_Right,-4.1952805519104,0.004559644497931,-0.0001978369400603,-6.511730134661775e-06,0.0,0.0,1.139213421515891,1741.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-59.78825378417969,15.1199312210083,0.0,False
1695432401288256000,44,10,RightRight_Right,-7.101084232330322,-0.0161104835569858,-0.0008944428991526,-1.2279143447813112e-05,0.0,0.0,1.139213421515891,278.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-27.20264434814453,13.914755821228027,0.0,False
1695432401321613000,60,1,Host_Left,1.7214231491088867,0.0065775304101407,0.0006408675690181,1.1599439858400729e-05,0.047634814208834086,0.10173217756585018,1.1391762735282749,1474.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,2.0,-59.928016662597656,17.130861282348633,0.0,False
1695432401321613000,61,2,Host_Right,-1.248431921005249,0.0061304299160838,7.59716349421069e-05,1.3628695683109981e-07,0.047634814208834086,0.10173217756585018,1.1391762735282749,1307.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-60.12910079956055,15.98655891418457,0.0,False
1695432401321613000,62,3,Adjacent_Left_Left,5.240875720977783,0.0546475872397422,-0.0061626052483916,0.0004848980752285,0.047634814208834086,0.10173217756585018,1.1391762735282749,20.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-2.128208637237549,4.0,0.0,False
1695432401321613000,31,6,Adjacent_Right_Right,-4.194089412689209,0.0044177845120429,-0.0001928162673721,-6.277577085711528e-06,0.047634814208834086,0.10173217756585018,1.1391762735282749,1742.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-60.01654052734375,14.874863624572754,0.0,False
1695432401321613000,44,10,RightRight_Right,-7.107479095458984,-0.0160602331161499,-0.0007662919815629,-7.0039218371675815e-06,0.047634814208834086,0.10173217756585018,1.1391762735282749,279.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-27.43097496032715,13.653937339782715,0.0,False
1695432401354970000,60,1,Host_Left,1.723504662513733,0.006778797134757,0.0006324849673546,1.1135889508295804e-05,0.14136827926563456,0.30415202258109275,1.1391728959865723,1475.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,2.0,-60.08993911743164,17.057201385498047,0.0,False
1695432401354970000,61,2,Host_Right,-1.2473320960998535,0.0061111045069992,7.19059826224111e-05,6.249150175108299e-08,0.14136827926563456,0.30415202258109275,1.1391728959865723,1308.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-60.291080474853516,15.872284889221191,0.0,False
1695432401354970000,62,3,Adjacent_Left_Left,5.246372222900391,0.0529583394527435,-0.0052493689581751,0.0004097796918358,0.14136827926563456,0.30415202258109275,1.1391728959865723,20.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-2.2900352478027344,4.0,0.0,False
1695432401354970000,31,6,Adjacent_Right_Right,-4.193262100219727,0.0042415186762809,-0.0001919182832352,-6.162558747746516e-06,0.14136827926563456,0.30415202258109275,1.1391728959865723,1743.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-60.178585052490234,14.720969200134277,0.0,False
1695432401354970000,44,10,RightRight_Right,-7.112436771392822,-0.015971215441823,-0.0006661675870418,-3.213643140043132e-06,0.14136827926563456,0.30415202258109275,1.1391728959865723,280.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-27.593095779418945,13.470388412475586,0.0,False
1695432401388326000,60,1,Host_Left,1.7253482341766355,0.0069668190553784,0.0006292708567343,1.09709089883836e-05,0.18830504815036875,0.4053897839695537,1.1391868200298272,1476.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,2.0,-60.257869720458984,16.945526123046875,0.0,False
1695432401388326000,61,2,Host_Right,-1.2461951971054075,0.0060999360866844,6.802317511755973e-05,-6.715369149645767e-09,0.18830504815036875,0.4053897839695537,1.1391868200298272,1309.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-60.459049224853516,15.750542640686035,0.0,False
1695432401388326000,31,6,Adjacent_Right_Right,-4.192386150360107,0.0040372726507484,-0.0001951098674908,-6.11515542914276e-06,0.18830504815036875,0.4053897839695537,1.1391868200298272,1744.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-60.346595764160156,14.589251518249512,0.0,False
1695432401388326000,44,10,RightRight_Right,-7.117203235626221,-0.0158277861773967,-0.0005721258930861,8.464866141366657e-08,0.18830504815036875,0.4053897839695537,1.1391868200298272,281.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-27.761159896850586,13.341649055480957,0.0,False
1695432401421683000,60,1,Host_Left,1.7274259328842163,0.0070943986065685,0.0006188866100274,1.0675469638954382e-05,0.28373033794412095,0.607805972287565,1.139144883539833,1477.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,2.0,-60.48228073120117,16.817813873291016,0.0,False
1695432401421683000,61,2,Host_Right,-1.244759202003479,0.0060969442129135,6.538046000059694e-05,-5.138687342309822e-08,0.28373033794412095,0.607805972287565,1.139144883539833,1310.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-60.683509826660156,15.604792594909668,0.0,False
1695432401421683000,31,6,Adjacent_Right_Right,-4.191451549530029,0.0038227813784033,-0.000197070010472,-6.026912160450593e-06,0.28373033794412095,0.607805972287565,1.139144883539833,1745.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-60.571109771728516,14.424214363098145,0.0,False
1695432401421683000,44,10,RightRight_Right,-7.121539115905762,-0.0160384848713874,-0.0005620605079457,-1.1909053654335366e-07,0.28373033794412095,0.607805972287565,1.139144883539833,282.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-27.985740661621094,13.156534194946289,0.0,False
1695432401455040000,60,1,Host_Left,1.7293286323547363,0.0073464415036141,0.0006208511185832,1.0605053830659015e-05,0.3788665278322014,0.8110206771898447,1.1391234039938898,1478.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,2.0,-60.65107345581055,16.717802047729492,0.0,False
1695432401455040000,61,2,Host_Right,-1.2437788248062134,0.0061215041205286,6.475279951700941e-05,-5.8294681082315953e-08,0.3788665278322014,0.8110206771898447,1.1391234039938898,1311.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-60.85228729248047,15.505846977233887,0.0,False
1695432401455040000,31,6,Adjacent_Right_Right,-4.1907806396484375,0.0036522056907415,-0.0001989809679798,-5.960034286545124e-06,0.3788665278322014,0.8110206771898447,1.1391234039938898,1746.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-60.7398681640625,14.326436042785645,0.0,False
1695432401455040000,44,10,RightRight_Right,-7.124420166015625,-0.0161903593689203,-0.0005683820927515,-9.464159802519134e-07,0.3788665278322014,0.8110206771898447,1.1391234039938898,283.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-28.154481887817383,13.059098243713379,0.0,False
1695432401488510000,60,1,Host_Left,1.7310866117477417,0.0076315370388329,0.0006241324008442,1.0556615052337293e-05,0.42632252739701926,0.9129753666846909,1.1390962424155595,1479.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,2.0,-60.82057571411133,16.72252082824707,0.0,False
1695432401488510000,61,2,Host_Right,-1.2427705526351929,0.0061744139529764,6.337861123029143e-05,-8.154569997032014e-08,0.42632252739701926,0.9129753666846909,1.1390962424155595,1312.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-61.021690368652344,15.464858055114746,0.0,False
1695432401488510000,31,6,Adjacent_Right_Right,-4.190206527709961,0.0035304122138768,-0.0001996294886339,-5.874873750144616e-06,0.42632252739701926,0.9129753666846909,1.1390962424155595,1747.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-60.9091682434082,14.241625785827637,0.0,False
1695432401488510000,44,10,RightRight_Right,-7.125611782073975,-0.0166024509817361,-0.0006561708869412,-4.924738277622964e-06,0.42632252739701926,0.9129753666846909,1.1390962424155595,284.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-28.323654174804688,12.914081573486328,0.0,False
1695432401521867000,60,1,Host_Left,1.7331819534301758,0.008113375864923,0.0006383536383509,1.0652593118720688e-05,0.5222910110721273,1.116843152907336,1.1389796485686448,1480.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,2.0,-61.05250549316406,16.450428009033203,0.0,False
1695432401521867000,61,2,Host_Right,-1.2414246797561646,0.006276671309024,6.355324876494706e-05,-7.525801493102335e-08,0.5222910110721273,1.116843152907336,1.1389796485686448,1313.0,3.0,1.0,False,0.0,0.0,0.0,0.0,2.0,1.0,-59.54997634887695,15.212616920471191,0.0,False
1695432401521867000,31,6,Adjacent_Right_Right,-4.189574718475342,0.0034316161181777,-0.0001994157646549,-5.758773568231845e-06,0.5222910110721273,1.116843152907336,1.1389796485686448,1748.0,3.0,1.0,False,0.0,0.0,0.0,0.0,1.0,1.0,-59.52946472167969,14.010055541992188,0.0,False
