ts,nad_status,nad_status_str,x,y,z,h,spd_mps,spd_kph,acc_lgt_mpss,acc_lat_mpss,dynamicobj.OBJ_Info.OBJ_CIPV_ID,dynamicobj.OBJ_Info.OBJ_CIPV_Lost,dynamicobj.OBJ_Info.OBJ_Is_CCI,road_id,lane_id,obj_id,length,width,class_str
1706928726990468352,5.0,PilotStdby,0.0272983689014836,-0.0014485345166121,-5.553834260751955e-05,-0.0531963599645932,15.828125,56.98124694824219,-1.7461791038513184,-0.2256309539079666,0.0,False,False,1.0,1.0,1,0,0,car
1706928727000468352,5.0,PilotStdby,0.1866700897808186,-0.0099052829577885,-0.0003797790057848,-0.0531253253059508,15.818310867594048,56.94591671052167,-1.7420713127952538,-0.2174153468372082,0.0,False,False,1.0,1.0,1,0,0,car
1706928727010468352,5.0,PilotStdby,0.3460730285401041,-0.0184342291381653,-0.000695264183145,-0.0530533114388749,15.78125,56.8125,-1.7265591621398926,-0.1863909512758255,0.0,False,False,1.0,1.0,1,0,0,car
1706928727020468352,5.0,PilotStdby,0.5056505326401748,-0.0273213006043988,-0.0009674900687688,-0.0529764458935605,15.772587052095314,56.78131324654464,-1.717494258352128,-0.182764984803741,0.0,False,False,1.0,1.0,1,0,0,car
1706928727020944832,,,0.5132489884782676,-0.02774318017529384,-0.000979715787820541,-0.052972679961528386,15.770765613880085,56.77475603932401,-1.7155883064339044,-0.18200260299421628,,,,,1.0,1,0,0,car
1706928727030468352,5.0,PilotStdby,0.6650589539094653,-0.0361719352326872,-0.0012239740984778,-0.0528974401991617,15.734375,56.64374923706055,-1.6775091886520386,-0.1667709350585937,0.0,False,False,1.0,1.0,1,0,0,car
1706928727040468352,5.0,PilotStdby,0.8236413609388364,-0.0448476803719586,-0.0014053360003742,-0.0528082353483855,15.734375,56.64374923706055,-1.6728770580704393,-0.1698590213312054,0.0,False,False,1.0,1.0,1,0,0,car
1706928727050468352,5.0,PilotStdby,0.982226105690188,-0.0535069750653747,-0.0015751540052857,-0.0527161172342878,15.734375,56.64374923706055,-1.6480791568756104,-0.1863909512758255,0.0,False,False,1.0,1.0,1,0,0,car
1706928727053998080,,,1.0382140565391202,-0.05653526851482125,-0.0016150148769022612,-0.05267852788796731,15.7329577898614,56.63864731516145,-1.6498587194218155,-0.18995007569245737,,,,,1.0,1,0,0,car
1706928727060468352,5.0,PilotStdby,1.1408423905800191,-0.0620862613086501,-0.0016880815776012,-0.052609624991325,15.730359982417031,56.62929527178476,-1.6531207344923688,-0.1964741045948329,0.0,False,False,1.0,1.0,1,0,0,car
1706928727070468352,5.0,PilotStdby,1.2994241176202197,-0.0706453151631194,-0.0017860294252791,-0.0525052280567361,15.703125,56.53125,-1.6873191595077517,-0.2648709416389465,0.0,False,False,1.0,1.0,1,0,0,car
1706928727080468352,5.0,PilotStdby,1.4578139384398128,-0.0791027370967185,-0.0018095243882747,-0.0524112568537314,15.699795609130025,56.51926386773226,-1.683138509699711,-0.268006428994977,0.0,False,False,1.0,1.0,1,0,0,car
1706928727088242592,,,1.5809450804991825,-0.08566551960526965,-0.0018187898098005867,-0.052340587848693616,15.678332879568138,56.44199594533979,-1.6561881876356688,-0.28821917054300844,,,,,1.0,1,0,0,car
1706928727090468352,5.0,PilotStdby,1.616196073289757,-0.0875443667841864,-0.0018214423906339,-0.0523203561465796,15.672188353395487,56.41987505106687,-1.6484726284936515,-0.2940058398995214,0.0,False,False,1.0,1.0,1,0,0,car
1706928727100468352,5.0,PilotStdby,1.7745602300615246,-0.0959088818508462,-0.0017760464806801,-0.052244645383979,15.642891063108662,56.314405483049015,-1.6480791568756104,-0.2761036674545574,0.0,False,False,1.0,1.0,1,0,0,car
