id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,0.0,0.0,0,1295,1296,car,2,119.7055189372845,2.0139923197903054,15.805734649623032,11.835125264080386,0.0,0.0,0.0,1
2,1.8325707912445068,4.481452465057373,0,122,123,Car,1,61.6047114568602,12.259830229552435,14.670497475071226,13.61214244525099,0.0,0.0,0.0,1
3,1.8380491733551023,4.43424654006958,0,298,299,Car,2,127.95425816350627,3.9375080396313646,15.152297119739345,11.45482802392606,3.010888434817381,0.1994585708170381,0.0,3
4,1.840104818344116,4.497134685516357,0,247,248,Car,1,125.95900686871394,10.238138847248928,11.498533268685705,10.883716023152795,0.0,0.0,0.0,1
5,1.8340532779693604,4.4295148849487305,0,298,299,Car,2,133.9706982077389,6.673200696761679,14.053142707254253,9.493925180679582,0.0,0.0,0.0,1
6,1.8248581886291504,4.421786785125732,0,298,299,Car,2,137.0379563146176,7.429800875352435,11.144490392384188,9.645358626617535,2.967465621198966,0.33113002447792517,0.0,0
7,1.8083958625793457,4.569621562957764,0,298,299,Car,2,138.04429272981565,11.852778368308202,13.444571183510808,12.74586958599596,0.0,0.0,0.0,2
8,2.606804609298706,8.453471183776855,0,217,218,Truck,2,179.6105198720061,-1.50640758477482,1.650921371685058,-0.07507737199213443,0.0,0.0,0.0,0
9,0.7962646484375,1.8809902667999268,0,7,8,Bicycle,1,7.777371571430495,0.0,0.0,0.0,0.0,0.0,0.0,0
10,1.8607075214385984,4.543546199798584,0,121,122,SUV,1,60.90952508653948,15.190611357011214,16.697961728188897,15.733636689869947,4.097831565616889,0.25508380755127535,0.8693731060212502,1
11,1.8119208812713623,4.518142223358154,0,33,34,Car,1,35.15468551313083,-13.227200305795055,-12.124235669487893,-12.443166617276992,0.0,0.0,0.0,0
12,1.8281869888305664,4.570757389068604,0,23,24,Car,1,25.524790454793923,-15.848977301687343,-10.612853991972669,-12.31304844521469,0.0,-1.6940666414906118,0.0,0
13,1.7941644191741943,4.521241664886475,0,59,60,Car,1,65.56038643703954,-15.064674988342917,-13.811701278848071,-14.331314419522469,0.0,-1.3541946518275387,0.0,0
14,1.800806164741516,4.378814220428467,0,14,15,SUV,1,9.956103669810277,1.1247574326153158,1.7073135660607468,1.35776672003284,0.0,0.0,0.0,0
15,1.75782310962677,4.440179347991943,0,273,274,Car,2,123.01297332864993,7.097958281561115,11.506548389574968,9.58755939754947,0.0,0.0,0.0,1
16,1.820106506347656,4.661513805389404,0,8,9,Car,1,8.469194488960271,-12.530930459347404,-12.530845284610555,-12.530894526967787,0.0,0.0,0.0,0
17,1.780676007270813,4.482243061065674,0,84,85,SUV,2,44.150263160847956,13.918401957949655,14.674361962710716,14.217724696337278,3.374619179241419,0.23203162351589474,1.047153741521978,0
18,0.7146860361099243,1.5799397230148315,0,19,20,Bicycle,1,13.711875047214946,0.0,0.0,0.0,0.0,0.0,0.0,0
19,0.6042531132698059,1.619917392730713,0,8,9,Bicycle,1,5.8248643222273,0.0,0.0,0.0,0.0,0.0,0.0,0
20,3.040400743484497,15.048507690429688,0,45,46,Car,1,33.20180245000639,-0.001073614090074162,0.6514694881600279,0.16002762365549708,0.0,0.0,0.0,0
21,2.849326133728028,10.038653373718262,0,176,177,Car,1,91.36163546662232,8.04379158268854,13.317779717819185,10.3145305633824,0.0,0.0,0.0,0
22,1.8351167440414429,4.656314373016357,0,10,11,Car,1,9.72328629065722,-10.024730551110396,-9.548310791197235,-9.938088958305856,12.53773378034714,-1.394401085800478,2.9053479697903226,0
23,1.8404628038406368,4.554579257965088,0,14,15,SUV,1,14.126343251333761,-14.34017455187608,-11.791252769866693,-12.64543278866609,0.0,0.0,0.0,0
24,1.9231905937194824,4.872994422912598,0,26,27,SUV,1,31.09088402809062,-13.34719840139848,-10.91516556324956,-11.620155876284219,0.0,-0.7515472514474009,0.0,0
25,1.8272076845169067,4.500359058380127,0,35,36,SUV,1,29.443826319094057,-0.0022456446430674415,4.124174599015112,1.298899583438892,0.0,0.0,0.0,0
26,0.6938765048980713,1.6205644607543943,0,23,24,Bicycle_P,1,21.4179096777465,-6.987299435220754,-6.749033132550289,-6.872022890175192,0.0,0.0,0.0,0
27,1.789574384689331,4.508172035217285,0,20,21,Car,1,22.777271676189493,-13.587482875741228,-13.19291930998268,-13.458159487696632,0.0,0.0,0.0,0
28,0.6608887910842896,1.632277488708496,0,65,66,Motorbike,1,46.40671779001785,0.0,0.0,0.0,0.0,0.0,0.0,0
29,0.2484510093927383,0.2484489679336547,0,2,3,Special_Truck,2,1.3462123579413119,13.275025509500198,13.275834980024493,13.275432320103482,6.72185610220057,0.5063535356214653,3.764165205602122,0
30,1.791024923324585,4.542701244354248,0,83,84,Car,1,40.78002803890977,10.715283474103774,12.416499925651799,11.491539600743668,0.0,0.0,0.0,0
31,1.772442102432251,4.456210136413574,0,13,14,Car,2,7.777065910648091,13.33391214075743,13.710389414988446,13.476327619475784,13.013063780002938,0.9491388892117696,5.901908496330343,0
32,1.767585039138794,4.493116855621338,0,11,12,Car,1,12.514768317858005,-14.263579361412614,-13.723588200099048,-14.007808257081317,0.0,0.0,0.0,0
33,1.8470174074172971,4.577702045440674,0,20,21,Car,1,25.172484642877336,-14.84816901336024,-13.295607468234577,-14.09687360548091,0.0,0.0,0.0,0
34,1.7828720808029177,4.427900314331055,0,168,169,SUV,2,68.1953002668111,2.2028400559822994,6.035572183959737,4.468325823811568,0.0,0.0,0.0,0
